name,model_type,metric_type,metric_value,train_time
1_Default_LightGBM,LightGBM,mae,0.05232983109046474,13.3
2_Default_Xgboost,Xgboost,mae,0.05221444445907865,11.48
3_Default_CatBoost,CatBoost,mae,0.05277663602387085,12.31
13_LightGBM,LightGBM,mae,0.052694104454497286,10.37
4_Xgboost,Xgboost,mae,0.051787876739897855,9.95
22_CatBoost,CatBoost,mae,0.05283298978782359,19.69
14_LightGBM,LightGBM,mae,0.052546391595952285,9.43
5_Xgboost,Xgboost,mae,0.05232421555864876,7.59
23_CatBoost,CatBoost,mae,0.05349171153442418,13.87
15_LightGBM,LightGBM,mae,0.052333935503216765,10.95
6_Xgboost,Xgboost,mae,0.05183027312457781,19.94
24_CatBoost,CatBoost,mae,0.05039424196462529,237.01
16_LightGBM,LightGBM,mae,0.052002741205245284,16.23
7_Xgboost,Xgboost,mae,0.05295825476582711,7.76
25_CatBoost,CatBoost,mae,0.05262283455778537,20.84
17_LightGBM,LightGBM,mae,0.052982181439654774,9.2
8_Xgboost,Xgboost,mae,0.05189870312886017,10.61
26_CatBoost,CatBoost,mae,0.052316350642669235,59.85
18_LightGBM,LightGBM,mae,0.05195831475943175,10.69
9_Xgboost,Xgboost,mae,0.05249267328485538,8.06
27_CatBoost,CatBoost,mae,0.05182384850644651,33.73
19_LightGBM,LightGBM,mae,0.05261335993690913,12.64
10_Xgboost,Xgboost,mae,0.05278631054590089,9.18
28_CatBoost,CatBoost,mae,0.052441150691219275,17.24
20_LightGBM,LightGBM,mae,0.05249637513580454,11.98
11_Xgboost,Xgboost,mae,0.05222308504713078,12.67
29_CatBoost,CatBoost,mae,0.052808567338259144,19.83
21_LightGBM,LightGBM,mae,0.05327509838944006,9.7
12_Xgboost,Xgboost,mae,0.05172609583366409,11.5
30_CatBoost,CatBoost,mae,0.0523506332949425,52.63
12_Xgboost_categorical_mix,Xgboost,mae,0.05203591688853343,8.93
24_CatBoost_KMeansFeatures,CatBoost,mae,0.05069726541272926,209.6
12_Xgboost_KMeansFeatures,Xgboost,mae,0.052106505363957355,14.99
4_Xgboost_KMeansFeatures,Xgboost,mae,0.05242096875797822,14.91
31_CatBoost,CatBoost,mae,0.05012690767439884,170.83
32_CatBoost,CatBoost,mae,0.05017384317475883,192.87
33_Xgboost,Xgboost,mae,0.05219285306072233,11.81
34_Xgboost,Xgboost,mae,0.05179429094513223,13.25
35_Xgboost,Xgboost,mae,0.051740122534116625,10.83
36_CatBoost,CatBoost,mae,0.05087644456182436,33.34
37_Xgboost,Xgboost,mae,0.051770512925728034,17.15
38_Xgboost,Xgboost,mae,0.0511896254418206,20.36
39_LightGBM,LightGBM,mae,0.05195831475943175,11.27
40_LightGBM,LightGBM,mae,0.05195831475943175,11.18
41_LightGBM,LightGBM,mae,0.052002741205245284,16.43
42_LightGBM,LightGBM,mae,0.052002741205245284,16.35
43_LightGBM,LightGBM,mae,0.05232983109046474,13.31
44_LightGBM,LightGBM,mae,0.05232983109046474,13.28
45_CatBoost,CatBoost,mae,0.04997128800634935,213.66
46_CatBoost,CatBoost,mae,0.050519699089423296,107.0
47_CatBoost,CatBoost,mae,0.0502910661058148,269.34
48_CatBoost,CatBoost,mae,0.051206505745684514,109.2
49_CatBoost,CatBoost,mae,0.05118254313311236,151.5
50_CatBoost,CatBoost,mae,0.050626272633510834,141.13
51_Xgboost,Xgboost,mae,0.05193772629003297,15.8
52_Xgboost,Xgboost,mae,0.05179700715709868,10.8
53_Xgboost,Xgboost,mae,0.05192024075315522,12.14
54_Xgboost,Xgboost,mae,0.05227463932643445,10.11
55_LightGBM,LightGBM,mae,0.05224087195693194,10.59
56_LightGBM,LightGBM,mae,0.05296654207611088,11.84
57_LightGBM,LightGBM,mae,0.05224087195693194,10.41
58_LightGBM,LightGBM,mae,0.05296654207611088,12.01
