name,model_type,metric_type,metric_value,train_time
1_Default_Xgboost,Xgboost,mae,0.052127154170433045,11.21
2_Xgboost,Xgboost,mae,0.05173867525104321,8.58
3_Xgboost,Xgboost,mae,0.05214931844947102,6.15
4_Xgboost,Xgboost,mae,0.05149826874126298,17.68
5_Xgboost,Xgboost,mae,0.05293873826365694,6.29
6_Xgboost,Xgboost,mae,0.05192589466026409,8.85
7_Xgboost,Xgboost,mae,0.052410213262991515,6.95
8_Xgboost,Xgboost,mae,0.05276000604374281,7.62
9_Xgboost,Xgboost,mae,0.052898868578107265,10.06
10_Xgboost,Xgboost,mae,0.05185887083560053,9.41
4_Xgboost_categorical_mix,Xgboost,mae,0.05160315415411985,14.78
4_Xgboost_KMeansFeatures,Xgboost,mae,0.0515099230462129,22.8
4_Xgboost_categorical_mix_KMeansFeatures,Xgboost,mae,0.05169002062970988,19.76
2_Xgboost_KMeansFeatures,Xgboost,mae,0.052812370697584335,11.44
11_Xgboost,Xgboost,mae,0.05223828018949073,13.97
12_Xgboost,Xgboost,mae,0.051967857035058546,17.32
13_Xgboost,Xgboost,mae,0.05208082348157062,11.21
14_Xgboost,Xgboost,mae,0.05168813556599244,14.33
15_Xgboost,Xgboost,mae,0.05141427525679183,18.11
16_Xgboost,Xgboost,mae,0.05136470221264063,12.99
Ensemble,Ensemble,mae,0.0509051872652591,0.82
16_Xgboost_Stacked,Xgboost,mae,0.05153991491289453,13.05
4_Xgboost_Stacked,Xgboost,mae,0.05139270242090057,19.32
4_Xgboost_categorical_mix_Stacked,Xgboost,mae,0.0516109374392616,16.95
14_Xgboost_Stacked,Xgboost,mae,0.051419771768922096,16.88
2_Xgboost_Stacked,Xgboost,mae,0.052273799051710694,9.34
10_Xgboost_Stacked,Xgboost,mae,0.0519553693992974,10.6
6_Xgboost_Stacked,Xgboost,mae,0.05223316260969833,10.02
Ensemble_Stacked,Ensemble,mae,0.05081744169935342,1.45
