iter	Passed	Remaining
0	479	383276
1	948	378545
2	1424	378366
3	1906	379398
4	2374	377512
5	2848	376924
6	3317	375880
7	3799	376147
8	4265	374878
9	4736	374216
10	5211	373790
11	5686	373411
12	6149	372289
13	6620	371682
14	7088	370939
15	7558	370386
16	8036	370134
17	8503	369446
18	8969	368685
19	9437	368079
20	9915	367820
21	10382	367149
22	10850	366550
23	11327	366254
24	11799	365780
25	12271	365318
26	12746	364914
27	13212	364278
28	13687	363892
29	14165	363570
30	14633	363012
31	15132	363185
32	15619	363030
33	16120	363191
34	16589	362604
35	17059	362035
36	17526	361419
37	18010	361157
38	18476	360522
39	18949	360048
40	19424	359590
41	19896	359088
42	20380	358793
43	20848	358217
44	21318	357674
45	21831	357853
46	22322	357634
47	22790	357057
48	23250	356352
49	23723	355859
50	24200	355412
51	24678	354986
52	25143	354378
53	25612	353838
54	26076	353224
55	26544	352668
56	27020	352210
57	27519	352062
58	27991	351556
59	28482	351282
60	28955	350787
61	29434	350366
62	29904	349839
63	30374	349307
64	30850	348850
65	31323	348357
66	31783	347719
67	32257	347241
68	32727	346723
69	33196	346195
70	33671	345728
71	34142	345223
72	34633	344909
73	35105	344411
74	35581	343951
75	36058	343500
76	36548	343173
77	37026	342731
78	37532	342542
79	38017	342160
80	38497	341725
81	38980	341318
82	39458	340861
83	39934	340397
84	40417	339979
85	40919	339725
86	41406	339345
87	41904	339047
88	42395	338689
89	42881	338289
90	43378	337971
91	43876	337656
92	44372	337325
93	44853	336876
94	45340	336472
95	45809	335937
96	46305	335593
97	46782	335118
98	47315	335030
99	47842	334896
100	48361	334701
101	48858	334342
102	49394	334251
103	50024	334776
104	50561	334670
105	51101	334568
106	51634	334418
107	52181	334350
108	52744	334370
109	53223	333859
110	53690	333269
111	54163	332720
112	54642	332206
113	55192	332125
114	55685	331691
115	56153	331112
116	56629	330583
117	57096	329997
118	57567	329443
119	58034	328863
120	58507	328317
121	58978	327763
122	59437	327150
123	59920	326663
124	60396	326139
125	60885	325691
126	61373	325233
127	61848	324704
128	62338	324259
129	62813	323730
130	63284	323187
131	63745	322588
132	64232	322128
133	64697	321556
134	65155	320950
135	65616	320363
136	66094	319857
137	66590	319441
138	67060	318899
139	67522	318319
140	67995	317793
141	68481	317329
142	68982	316933
143	69472	316485
144	69956	316010
145	70008	313600
146	70506	313202
147	71135	313382
148	71728	313391
149	72207	312900
150	72698	312459
151	73299	312487
152	73809	312121
153	74276	311577
154	74749	311055
155	75249	310647
156	75811	310490
157	76324	310129
158	76900	310019
159	77441	309764
160	77921	309266
161	78460	309000
162	78969	308610
163	79542	308471
164	80022	307966
165	80522	307536
