,prediction
0,0.0
1,0.0
2,0.0
3,71.9637821941144
4,359.1409462010066
5,982.3516547865967
6,1946.7476519779648
7,2750.875553840383
8,2875.6729744911954
9,2960.531025081879
10,2926.693824962438
11,2821.8268893937166
12,2447.570093112655
13,2434.0420612540574
14,2215.281556994347
15,1683.0914079699796
16,1112.7188645409678
17,620.0233441984169
18,266.31218603154707
19,24.43741743532005
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,154.61395679884467
28,643.0710833610375
29,1288.67473195249
30,2027.3959231712843
31,2968.065829624943
32,3852.500929153459
33,4280.823307098202
34,4150.585919895645
35,4113.130578165123
36,3915.9629472553233
37,3697.335274962641
38,3384.1133003535856
39,2712.0780168948977
40,1775.5034189382425
41,862.2348103571042
42,418.9506646719243
43,112.32450214816689
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,31.229422056823076
51,221.53370252167093
52,668.5322314631583
53,1571.7563951647726
54,2772.6277152260263
55,3725.7064202544548
56,4444.214579126731
57,4927.044226563328
58,4801.126842047287
59,4502.549571925216
60,4272.579949417568
61,3720.387689343028
62,2905.426024455155
63,2046.9720134899064
64,1336.705098255537
65,749.1395197516666
66,378.7659811802157
67,131.86168770030767
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,11.197359668098695
75,131.51614455894642
76,466.86432329466686
77,1425.0197021995498
78,2760.2753440886086
79,3806.3061916316337
80,4214.963283957943
81,3911.072505460581
82,3974.6534028691194
83,3815.976558625828
84,3599.5718119936187
85,3708.6591694008102
86,3508.2348692970263
87,2862.14370004856
88,1771.9323862038182
89,817.3423807807744
90,354.0870910073902
91,124.20391015115749
92,9.927207083934707
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,48.21770170010022
99,244.3951068732266
100,637.068544844936
101,1458.8123154118657
102,2680.3216323931792
103,3574.463912254366
104,4419.890547125064
105,4783.259694280607
106,4980.081383679738
107,4935.959416114296
108,4678.274886076422
109,4294.701654378742
110,3546.64482103124
111,2803.935220389362
112,1822.0739224951421
113,977.4463149160841
114,468.06093548773515
115,192.49824648926526
116,19.138117962575098
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,67.05195028960433
123,279.9645552405544
124,778.0705350693424
125,1739.33243437062
126,2813.8866104038325
127,3653.8475685068624
128,3856.790479420958
129,3984.8034327726655
130,4049.229670530857
131,3811.195449616105
132,3646.726035989159
133,3594.2229584277075
134,3295.8709276467616
135,2521.969873585568
136,1664.493744227801
137,971.0825205204628
138,492.3966426725169
139,206.29311653614747
140,23.79524576781303
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,71.84233391542762
147,286.38148487878516
148,752.9276958382889
149,1729.1862672553325
150,2913.540131403267
151,3863.0942595789047
152,4477.933218803462
153,4577.766047627371
154,4579.908127182467
155,4364.444847347611
156,4066.245013818874
157,3745.97119565292
158,3163.5836389646265
159,2377.5855057757894
160,1571.1686628241296
161,904.2497516467515
162,436.0114077626489
163,167.53673657562376
164,18.89770937927023
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,6.160718864575751
171,59.94126766077036
172,121.60368417008704
173,203.33027695184597
174,308.64267809948205
175,443.3233094451858
176,591.0532539426883
177,674.5558982015382
178,856.4727265159815
179,1213.531365416881
180,1685.6071603860337
181,1851.079695151615
182,1763.0328782560043
183,1731.9696521446008
184,1223.0887903015707
185,654.8579904701136
186,318.23305022684417
187,129.55761548810062
188,28.36570901501274
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,45.357589479570336
195,162.92739419822436
196,336.4316133045931
197,649.2489206696462
198,1333.1228025524192
199,2073.0073942500553
200,1844.2580053670818
201,2119.8161373110984
202,2577.89475705659
203,2258.153156658149
204,2482.7973556309025
205,2733.1052209685995
206,2341.1063008014235
207,1289.991746915005
208,686.519599965189
209,401.10174140449965
210,191.8757533535475
211,50.57242672595936
212,4.106287493863466
213,0.0
214,0.0
215,0.0
216,0.0
217,0.0
218,10.5928599588077
219,70.45450230506728
220,132.85182866907348
221,223.54612739857046
222,526.4816853020452
223,1084.0141876916066
224,1420.333727113455
225,1327.6233226057846
226,1385.3463988132912
227,1252.0908593411446
228,950.5795172057374
229,775.891018112454
230,703.1891986993002
231,607.0473862993408
232,455.51790988912967
233,308.0480232568449
234,210.87040650244379
235,69.63619116306717
236,23.369515274439063
237,0.0
238,0.0
239,0.0
240,0.0
241,0.0
242,22.636304707260194
243,106.89083976248074
244,290.86715372043204
245,628.3341930708718
246,1259.8609531015513
247,1783.6173552498703
248,1561.5927660691705
249,1154.0328782666966
250,1260.3546010051564
251,1412.7267078012737
252,1703.0164081186808
253,1684.128881007135
254,1618.415294433703
255,1721.7469362478146
256,1340.0692873154328
257,896.5174910997505
258,522.0759502408289
259,234.69376027411107
260,66.51680217896887
261,0.0
262,0.0
263,0.0
264,0.0
265,0.0
266,61.295878905706864
267,176.22154675136625
268,354.4736863730685
269,697.7902912352965
270,980.1062093629619
271,1328.7380979199065
272,1541.7569132547715
273,1631.5754293438083
274,1696.9013225839788
275,1590.8234027934998
276,1513.1405847678861
277,1347.2732435763105
278,1253.063368008317
279,1003.1258259313972
280,630.2419738446497
281,341.80965473726815
282,192.115745639278
283,47.5295411901038
284,1.1050200322536528
285,0.0
286,0.0
287,0.0
288,0.0
289,0.0
290,73.51347389753252
291,189.7736639264118
292,378.90899209910253
293,701.4693080412178
294,1174.601962556385
295,1441.0113271362038
296,1672.042760223847
297,2027.0424754144615
298,2130.245929844631
299,1977.2539963379159
300,1697.129421140574
301,1584.0341777125973
302,1473.603917705012
303,1243.471272043834
304,873.9356571956697
305,569.5484313519869
306,356.6625461039225
307,163.07920540169317
308,32.04938634530237
309,0.0
310,0.0
311,0.0
312,0.0
313,5.50508949653512
314,68.0185027014104
315,220.59512649570354
316,482.1197154597165
317,831.6409285894202
318,1295.1643506383257
319,1838.121718396104
320,2314.0688272698944
321,2485.172259571251
322,2494.6153304316103
323,2233.8070722427574
324,1950.378328203325
325,1502.7942510857706
326,1071.0564622471638
327,734.0248200855244
328,582.6393815229762
329,333.4801347018074
330,169.11372037465625
331,65.00920044128537
332,7.520520487478416
333,0.0
334,0.0
335,0.0
336,0.0
337,0.0
338,19.223248689199426
339,81.78404327482008
340,220.51077067781094
341,457.1377490552611
342,718.3011416623735
343,911.6555445404501
344,1078.7224517422608
345,1228.6839572448189
346,1304.424495254766
347,1364.247275176369
348,1257.604800285078
349,1175.224658043036
350,1097.8160268255851
351,1000.556492623846
352,718.4679410984377
353,459.30544427187715
354,265.8771753069981
355,106.40751673158115
356,17.136078181087495
357,0.0
358,0.0
359,0.0
360,0.0
361,3.435853271278342
362,41.02873498771652
363,158.2652619224561
364,321.56619864646797
365,510.1051328846203
366,759.5327316936346
