,0
0,0.0
1,0.0
2,13124.795909861803
3,344481.1797807704
4,1961759.228259133
5,5777517.215808446
6,12024669.162032532
7,16126848.305794666
8,17178059.27990665
9,16462497.14002456
10,14690411.04650729
11,16038011.116209054
12,14164076.10956643
13,13648035.217279593
14,12729654.500550248
15,9941666.245281065
16,7180052.242327627
17,3805907.1420676312
18,1464920.2856510428
19,165154.6438575394
20,30714.89234330424
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,28714.30933162283
27,784571.3577114919
28,3504266.8890006207
29,7591988.812393658
30,12997615.717340626
31,17360718.075784355
32,20612121.908880994
33,23923991.055696018
34,23283322.449297868
35,22231047.55049435
36,21287242.921446003
37,20602530.274779413
38,17521068.238078732
39,13910480.04964263
40,9568833.44577264
41,4753190.223706027
42,2067891.9018323582
43,511583.5813422214
44,109738.92289690099
45,0.0
46,0.0
47,0.0
48,0.0
49,29711.60206539443
50,146458.23892089736
51,1237772.1733417802
52,4197410.262627721
53,8670057.607175289
54,15148833.868434781
55,20248904.660965282
56,24888727.8183349
57,27009753.591416247
58,27129654.584668834
59,25086515.427749578
60,24092634.156045683
61,20685627.106006626
62,15479009.791000167
63,11122496.940861985
64,7628873.663322881
65,4665618.468501239
66,2366396.854092766
67,834624.599776829
68,61148.973346412015
69,33350.30633386308
70,0.0
71,0.0
72,0.0
73,17229.403800375738
74,59877.254759587966
75,811937.3023306066
76,3422506.973989808
77,7605718.667742533
78,14170130.982249567
79,21032065.06182686
80,23816342.589862175
81,21478694.418038376
82,19717668.394343443
83,18636781.291606963
84,19765624.962316554
85,21002718.07015461
86,17982072.023500964
87,13995398.725396024
88,8157215.499346987
89,4089897.740497525
90,1953811.5183497882
91,785747.7388976079
92,157387.59412133688
93,27392.30187672928
94,0.0
95,0.0
96,58680.07886463043
97,20945.112254493994
98,291716.05758812366
99,1619430.347272121
100,3916875.9265204114
101,9214414.670323193
102,14085112.351022424
103,19831189.459063206
104,24949319.5608058
105,26770349.104882054
106,26914767.22746595
107,26728212.7379656
108,26031530.967283588
109,23528182.679134753
110,19851665.326033372
111,16063938.143562375
112,10842156.079117289
113,5685912.776389435
114,2755298.313934105
115,1286293.2884483554
116,129048.7409009817
117,51480.292370418356
118,0.0
119,0.0
120,20221.463940479687
121,20604.493983072993
122,338412.90256290085
123,1702561.9013114464
124,4018736.589184361
125,9073346.46194812
126,14166684.94599524
127,20602520.253848005
128,22549087.83181998
129,21885695.55429879
130,22550892.264156334
131,20447569.759258345
132,20022308.621070907
133,18943010.17204145
134,16145245.004557787
135,13505269.403527623
136,9524678.855122643
137,5323138.965578504
138,2772851.0918813194
139,1208897.4348548267
140,166246.48221606313
141,51386.513081772624
142,0.0
143,0.0
144,20352.86019121537
145,15758.097332741027
146,354272.44909529586
147,1717171.0882331724
148,4089991.5281861145
149,9507958.955857735
150,15556033.975366827
151,21396659.628554277
152,24125215.68326796
153,24864897.32512545
154,23821468.080589667
155,24100190.89057264
156,21745252.58354607
157,20023286.027596332
158,16903692.576289672
159,13294740.552392012
160,9351483.420918275
161,5380606.883286421
162,2656171.8973188186
163,1209561.7716113068
164,118823.87159007453
165,25380.362393296164
166,0.0
167,0.0
168,14638.875438491807
169,15663.260716639234
170,92341.8103443964
171,322704.2463481412
172,851718.6739284373
173,1455283.70202795
174,1766179.541896181
175,2324122.2720801127
176,3586585.852364869
177,4338771.870516662
178,5480240.559974488
179,8437959.603863161
180,10570267.386762375
181,9650726.013861263
182,11892722.736494359
183,10598866.525640095
184,7252859.534714245
185,3687149.3238679147
186,2082514.8614487688
187,1045627.0283661159
188,101474.15315575818
189,42475.104190365266
190,19549.000884440025
191,0.0
192,21390.1941846723
193,21749.560014466555
194,278816.1338664718
195,1062006.3377510044
196,2136226.760837981
197,4250755.236214119
198,8792982.100305233
199,12757348.844272424
200,12930027.728677263
201,13548910.245687539
202,14334541.793802213
203,13347853.086834274
204,13452325.361145714
205,15152344.396657672
206,12803966.316631323
207,7187282.869704454
208,4866194.414531808
209,2769002.6781927566
210,1413020.8937705376
211,449373.0221731218
212,94895.19252148783
213,17692.569033056752
214,17907.30596645029
215,0.0
216,33345.04103503616
217,20163.848694456134
218,97389.97268760997
219,426243.1311077744
220,730146.4431550447
221,1422919.035109279
222,4441515.073846966
223,7959504.8617808595
224,10678534.709543038
225,9115088.70137236
226,8681502.522875054
227,7989600.868684352
228,5850366.733656213
229,4777747.396804088
230,4330477.910259048
231,3832173.1119829733
232,3128848.7606001347
233,2001873.6244640152
234,1354498.7798809248
235,537615.8547555845
236,135049.68810548075
237,45762.71910234802
238,16149.327685302827
239,0.0
240,19939.897843365598
241,26601.701497757967
242,134944.1023499709
243,562325.8213490788
244,1963902.3776393933
245,4627783.260281594
246,7403718.003287093
247,10142146.930414397
248,8537453.242451886
249,7470706.08649473
250,9152733.40997378
251,9097393.018479778
252,9814115.147512887
253,11306779.029887483
254,12370039.75105961
255,11985897.120917745
256,8571168.69915231
257,5985621.212027618
258,3477874.524483864
259,1419678.1383274975
260,300634.84790727036
261,58008.6855448051
262,27733.308859314842
263,15932.578385605273
264,26582.19896018163
265,19313.56302965819
266,337782.6730076514
267,1243010.4973064344
268,2206196.056809435
269,4442987.6324978955
270,5597294.671034742
271,6582143.9985696
272,7546267.490497395
273,7885589.052209532
274,11210513.174938234
275,10567542.382402156
276,7625355.301583212
277,6607854.957754977
278,6965073.266266245
279,5954059.991431764
280,4395825.741455229
281,2212448.120604778
282,1283783.8348247535
283,413660.4266466631
284,108159.77430929111
285,17833.04754889112
286,16694.681763422126
287,11262.265135042884
288,15250.405591283838
289,55574.26455965225
290,444927.05670105334
291,1166725.4938419445
292,2450541.341139607
293,4862147.518667971
294,6324518.211034717
295,8324718.440293335
296,9638453.84008671
297,12380598.11107802
298,11333857.715856578
299,9988979.82349042
300,8665139.436487276
301,9128541.595549872
302,9392455.034874076
303,7518184.502539524
304,6067347.460365565
305,3663828.009294143
306,2066386.164631237
307,1140904.6303147804
308,283936.7056374211
309,27937.201199679366
310,21331.49083302536
311,22068.583718515394
312,18767.07805429856
313,18690.328854208394
314,367273.0809300704
315,1344759.3138749748
316,3111858.646973143
317,4252637.743435515
318,6984376.200501535
319,9305470.458992595
320,11889003.977856869
321,13134899.012756925
322,13602392.487482833
323,11945840.67587146
324,10026100.399441093
325,8066520.908450374
326,6140450.477347356
327,4777249.681662074
328,3867699.2989916243
329,2165430.607250838
330,1056600.8037976385
331,542543.465086934
332,108177.00737560003
333,14700.335764024832
334,17932.940120926505
335,15199.03264033262
336,22923.05640137663
337,48676.73608451357
338,107052.42817917954
339,352810.5650092301
340,1349616.119353653
341,3096299.459881875
342,4863994.111192692
343,5516478.157266427
344,6959285.035585747
345,7716784.289648053
346,9494125.237674933
347,10042853.240248075
348,9216288.110414885
349,8033736.408931758
