,prediction
0,0.0
1,0.0
2,0.0
3,60.50097691705451
4,344.40098952636123
5,889.4072408482432
6,1949.1895591038465
7,2583.4730614614487
8,3098.8700244641304
9,3054.1549136066437
10,2608.626208382249
11,2901.3725322461128
12,2237.9009769415857
13,2464.328680436611
14,2473.206703952551
15,1623.4917874753476
16,1244.7052874439955
17,566.9018190667033
18,317.8066033574939
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,115.0530454351008
28,485.0635308815539
29,1000.8855738142133
30,2013.7988036835193
31,3121.419295170307
32,3835.846447395086
33,3946.290508904457
34,3708.9217067956924
35,3847.168584394455
36,3438.3137131369112
37,3926.243105481863
38,3386.542386506796
39,2330.2164964950084
40,1759.8727730691432
41,717.7067308142781
42,463.6872347304225
43,93.42462105397135
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,220.78162877038122
52,640.175885079056
53,1585.3204555660486
54,2447.518565468788
55,3381.2669698619843
56,4306.216634062529
57,4559.243209043741
58,4482.419377470016
59,4534.060160007477
60,4067.9781075668334
61,3917.5427859663964
62,2794.8547039318087
63,1773.4177478975057
64,1319.9836922559143
65,808.2300884360075
66,464.37925511687996
67,120.84758416302502
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,129.40052896656096
76,710.3644372312725
77,1718.4791891974212
78,2375.7615192085505
79,3837.1853786909583
80,3805.4652146065237
81,3511.3411721313
82,4181.028608329296
83,3334.74030341506
84,3155.9061738467217
85,3863.253530344963
86,3499.3731494379044
87,2508.6244782006743
88,1766.488829702139
89,1030.4808081391454
90,326.1593107806891
91,128.61396449860186
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,255.93500424183907
100,634.6836780971289
101,1501.044504210949
102,2504.1856373119354
103,3150.9178175103666
104,4301.345835757255
105,4403.585440260172
106,4653.3754102635385
107,4441.603502469063
108,4466.861392228603
109,4082.8748288834095
110,3348.978836452961
111,2646.616077167988
112,1676.6070006090404
113,1122.1201981446147
114,524.5150577884913
115,222.78103372089566
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,133.64005089707672
123,282.50651529237626
124,701.8642910201847
125,1595.725024793744
126,2256.3519491368534
127,3274.9593107020855
128,3764.2976907277107
129,3881.1049224078656
130,3694.21670075655
131,3526.7634872031213
132,3449.3624593663217
133,3458.2322811591625
134,3138.9433017861843
135,2296.0303476655486
136,1502.8065077233314
137,1096.040341948271
138,546.247573569417
139,257.14228079505267
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,144.18765902996063
147,293.06029607623816
148,698.0738988639414
149,1755.0921937179567
150,2461.962312453389
151,3580.8733301317693
152,3981.6426693677904
153,4048.6897052693366
154,4449.352763843536
155,4322.053136150837
156,3997.369473409653
157,3596.204059295654
158,2968.7558387947083
159,2215.4977994281053
160,1510.5279174131156
161,1033.4361623623968
162,554.8519500115514
163,217.0345306055993
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,23.766978291990235
171,57.72944060895592
172,124.86214607130736
173,282.3211435351521
174,557.0178456692398
175,500.9674408815801
176,699.1024462012947
177,817.6038035917283
178,927.2651131528617
179,1572.1204657155276
180,1948.4382470941543
181,1816.7389075666667
182,2225.9447442251444
183,2028.526022722721
184,1089.5908828157187
185,635.6296528784931
186,384.5033146177232
187,190.9263741928339
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,49.49078305793926
195,144.3303455173597
196,342.96133081868294
197,631.746051556617
198,1320.9490179777144
199,2022.6365020608903
200,1662.10054461658
201,2975.853404921293
202,3202.1878138160705
203,2831.2066202670335
204,2951.0995793938637
205,3013.6312249910834
206,2350.191793102026
207,1079.9923037517071
208,900.4151493313909
209,464.5965153443813
210,274.55368458755316
211,93.41864063087851
212,0.0
213,0.0
214,0.0
215,0.0
216,0.0
217,0.0
218,22.64498684381135
219,88.81719097031281
220,211.2856566797197
221,325.7320522680134
222,844.5930258366466
223,1149.8820910531283
224,1608.0445254957676
225,1689.2718280273675
226,1818.7908761644364
227,1275.8949025654792
228,1141.4437995037438
229,1000.3031660395861
230,789.513072847724
231,725.0971668031812
232,649.7863822719455
233,382.2916687233746
234,213.62976894557477
235,146.14712329767644
236,57.282350586131216
237,0.0
238,0.0
239,0.0
240,0.0
241,0.0
242,29.64080835269764
243,108.64674146275968
244,303.4936140520871
245,762.0752334362269
246,1373.4430360212923
247,1588.0205311578513
248,1559.715530397892
249,1553.7971328359843
250,1693.316986207366
251,2123.406289436817
252,2168.614016287923
253,2115.102044799328
254,2170.447272269726
255,1992.1066130411625
256,1525.663855653405
257,995.1582934874297
258,561.617730808407
259,232.00619943872096
260,55.90817751131952
261,0.0
262,0.0
263,0.0
264,0.0
265,0.0
266,67.83975700149313
267,183.16258893370627
268,390.7682349805534
269,755.1274341908097
270,1123.1475493973494
271,1245.8604488816857
272,1588.508362812996
273,1754.172917253971
274,1476.647282769084
275,1236.6195845532418
276,1285.8863954266906
277,1514.5043861621618
278,1594.7497032219171
279,1174.4127613645792
280,646.6660965232551
281,413.45509813517333
282,244.67081327050926
283,92.31752726688981
284,40.942414346002046
285,0.0
286,0.0
287,0.0
288,0.0
289,0.0
290,93.31478417627514
291,222.98731560029088
292,417.92725852400065
293,787.7715736430883
294,1285.3019372212887
295,1337.8000561264157
296,1283.4231445893645
297,2024.7421235972643
298,1970.5719638299943
299,1911.632502080798
300,1620.4580042749644
301,1446.1023572570086
302,1278.7170642229914
303,1130.8581088909507
304,947.9430240386724
305,484.9528076197207
306,426.9368513479829
307,233.05223951362075
308,61.7600482059829
309,0.0
310,0.0
311,0.0
312,0.0
313,0.0
314,65.76579432986676
315,235.40794952854515
316,546.6066125415266
317,901.9011990353465
318,1332.9204580557346
319,1891.4670280194282
320,2518.368979588151
321,2697.490340334177
322,2400.80992329061
323,2245.751563770175
324,1946.929471782446
325,1676.9031169867517
326,1197.6020227763056
327,691.9954395496845
328,597.3334582784772
329,419.49677784740925
330,202.43601881481706
331,95.6602847546339
332,39.45888229337521
333,0.0
334,0.0
335,0.0
336,0.0
337,0.0
338,22.051020032675005
339,58.385316813346
340,242.09011119537055
341,504.26859171152114
342,877.1674506425858
343,979.744436442554
344,1050.9259096974135
345,1422.0711377084256
346,1568.3133283746242
347,1683.210925526619
348,1362.4822874459624
349,989.66749617666
350,1108.4450209620595
351,910.1496548688411
352,894.7962000972033
353,538.7526937629283
354,277.7847790326923
355,178.10191219523549
356,56.80008286032826
357,0.0
358,0.0
359,0.0
360,0.0
361,0.0
362,45.67692842038348
363,171.60268739908935
364,367.89388556197287
365,552.9028019736708
366,860.0656618970633
367,1083.411738806963
368,1114.6157923784851
369,1720.7483325880767
