,prediction
0,0.0
1,0.0
2,0.0
3,53.45288811223581
4,344.89680931806566
5,837.0775990051031
6,1633.2637988090514
7,2442.8304263716936
8,2857.770805299282
9,2922.949557026625
10,3055.784322595596
11,2662.312295617461
12,2235.817055797577
13,2221.784932790995
14,2134.9027130520344
15,1584.982988834381
16,1252.8378085041047
17,675.3909657016396
18,246.82771693490446
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,200.17403057321906
28,573.3839996570349
29,982.0914107680321
30,1921.9871774929761
31,2953.155819722414
32,3159.1591822707655
33,3599.64434039712
34,3513.1404251360896
35,3438.014691982269
36,3460.8182161045074
37,3702.5869009172916
38,3023.8314346182347
39,1853.7379056805373
40,1579.964046905637
41,835.9328605905175
42,451.4225830516219
43,62.44762599242851
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,217.34262918815017
52,608.6833188106119
53,1288.7294885650276
54,2424.648744084835
55,3667.361525423527
56,4192.382868744135
57,4731.931855841875
58,4624.152670862675
59,4432.912751630544
60,4148.2958731806275
61,3901.271592553854
62,2748.8201408708096
63,2124.8074171328544
64,1271.8958790779113
65,834.4287841826678
66,407.7544734084606
67,182.91867310613395
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,151.44368500985206
76,566.9012210243941
77,1246.6367077991367
78,2335.775726932883
79,3556.1987879276276
80,3913.9401790952684
81,3691.2979125487805
82,3651.6377970278263
83,3595.1853369390965
84,3401.731294208765
85,3278.926894251108
86,3148.9453031051157
87,2278.357343080044
88,1593.4160688722134
89,724.1684925314784
90,275.657841559723
91,110.93924054145813
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,216.18330281294882
100,599.716827750206
101,1288.1773246443272
102,2328.455176459551
103,3651.2116491651536
104,4242.233625215292
105,4312.186805001497
106,4606.105462660789
107,4733.809025216103
108,4616.546256165505
109,4272.877654881478
110,2859.9878335744143
111,2085.7017722672226
112,1817.693895699978
113,1021.6926618388295
114,568.4872292286158
115,229.09076453961433
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,53.51117587873712
123,228.45337958984078
124,761.6518194812536
125,1456.6465266466141
126,2421.9028755390646
127,3365.7749401438236
128,3665.882139619589
129,3550.4767191123965
130,3484.078302812576
131,3015.649874088764
132,3250.4669150984287
133,3073.803849982023
134,2953.5392502772806
135,2000.8276077336072
136,1362.274937633872
137,832.7596480974555
138,504.0905032552779
139,208.68833757184447
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,57.76589449150488
147,219.79039500139655
148,794.1501220446825
149,1463.917183304429
150,2637.719599775076
151,3698.084838413
152,4148.563796135187
153,4264.628430136442
154,4339.024893411398
155,4420.874672552347
156,3920.3077918660642
157,3497.5602268946172
158,2691.6261083185673
159,2182.6020550328494
160,1441.9997870153188
161,1024.6166615581512
162,517.5388515333831
163,208.59156151100993
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,7.822427445792128
171,54.10558721685782
172,138.55800911016763
173,294.7450880547613
174,459.28649768024684
175,479.8089602829516
176,624.9044475384056
177,941.8594813647867
178,1007.7346106439829
179,1498.3584398961068
180,2141.805317385793
181,1967.2154086518287
182,2001.3854957735539
183,1621.772501270771
184,1153.5663734167815
185,673.1317327263952
186,391.39951135531066
187,223.64597376935185
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,51.815426910761744
195,148.23362883880733
196,390.43187889888884
197,647.1819507323205
198,1494.3657385700942
199,2292.127010947466
200,1891.4918040579557
201,2313.8983140438795
202,2329.4451927852633
203,2506.042473247647
204,2549.8297641795875
205,2470.7591730844974
206,2201.0465341973304
207,1218.7541812133788
208,944.3432365098596
209,482.05977794855835
210,251.9705604149401
211,84.71239408895373
212,0.0
213,0.0
214,0.0
215,0.0
216,0.0
217,0.0
218,14.382715965989046
219,116.84967132546008
220,180.26919616542756
221,360.011901512146
222,568.1544186834991
223,1025.533460418284
224,1583.797156369686
225,1575.258991754651
226,1696.8667944860458
227,1353.099516220987
228,1061.5778975719213
229,889.0232976856828
230,789.4828289937973
231,727.0067158967256
232,594.1279942180216
233,398.0007450824976
234,225.39018552303315
235,66.56510991420596
236,37.800369468647986
237,0.0
238,0.0
239,0.0
240,0.0
241,0.0
242,27.286313111213968
243,99.24900850072503
244,312.09297121055425
245,664.7229588367045
246,1549.2971207624673
247,1615.8542745780944
248,1705.196156900525
249,912.0776578393578
250,1396.4486130094529
251,1393.323585639596
252,1521.6110083580018
253,1847.548509517908
254,1815.3287238013745
255,1640.2231317275762
256,1296.2089474233985
257,945.5234302899241
258,659.027588338852
259,229.38876047886907
260,56.355438403375445
261,0.0
262,0.0
263,0.0
264,0.0
265,0.0
266,54.94790845083073
267,181.8295953436196
268,441.3921320056915
269,736.4591163334251
270,1012.8421482691169
271,1471.649186886549
272,1677.1006418180466
273,1759.764100238085
274,1363.2290714210271
275,1180.9720039781928
276,1694.4582218027115
277,1532.2524023401738
278,1312.3104676893354
279,1025.7647319227458
280,626.6940464316309
281,431.6774045817554
282,276.33751664422454
283,73.25491263946519
284,34.7577891726885
285,0.0
286,0.0
287,0.0
288,0.0
289,0.0
290,88.28644977947697
291,237.4337751339376
292,408.23918670013546
293,629.2794260519743
294,965.677456112802
295,1338.3109551277757
296,1478.0478978574276
297,1664.9569655549526
298,2066.5534827393294
299,1947.439687306881
300,1633.578369063735
301,1367.336682305038
302,1305.622133371532
303,1213.8612553426624
304,883.6960222291947
305,587.2482863612473
306,457.17609180539847
307,223.14688610360025
308,47.45370144193992
309,0.0
310,0.0
311,0.0
312,0.0
313,0.0
314,67.5315356066823
315,246.3996254347265
316,523.1578434848785
317,889.0216744279861
318,1235.4712578848005
319,1784.280417534113
320,2217.468263402581
321,2294.2191338145735
322,2208.133164693117
323,2079.698281828165
324,1613.1904232633115
325,1314.6043871185184
326,1207.1487430286409
327,830.2489810484648
328,668.8721763785184
329,434.41135499864816
330,203.24884374774993
331,51.51936926934868
332,0.0
333,0.0
334,0.0
335,0.0
336,0.0
337,0.0
338,10.612626545196399
339,86.22511541197076
340,214.4013716764748
341,555.5012958075106
342,877.9557558408379
343,951.6261957523227
344,1174.347403883636
345,1321.048720174134
346,1149.2267221167683
347,1150.4296415045858
348,1168.0774428784848
349,1077.570232399106
350,972.6173953735829
351,926.791805382371
352,726.4481443798542
353,459.1265213625133
354,268.4499793443829
355,157.6761936153844
356,31.38906223163009
357,0.0
358,0.0
359,0.0
360,0.0
361,0.0
362,44.04454256904312
363,230.3687809545547
364,306.5844462170452
365,542.9474906721712
366,839.6489246311784
367,954.6484452795983
368,1122.3261810028553
369,1319.3562604388594
370,1328.4511170092226
371,1695.6539646828176
